parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
1079139,119550,10,623,Feltia jaculifera
1079139,147309,10,902,Feltia herilis
117747,320201,24,,Noctuina
320201,143122,20,,Ochropleura
143122,143121,10,694,Ochropleura implecta
320201,81688,20,,Noctua
81688,81687,10,983,Noctua pronuba
122224,122730,25,,Elaphriini
122730,146714,20,,Elaphria
146714,146713,10,474,Elaphria grata
122730,52907,20,,Chytonix
52907,52906,10,480,Chytonix palliatricula
122224,122728,25,,Pseudeustrotiini
122728,202543,20,,Pseudeustrotia
202543,143118,10,499,Pseudeustrotia carneola
122224,1524091,25,,Eriopini
1524091,48669,20,,Callopistria
48669,199999,10,510,Callopistria mollissima
122224,122740,25,,Hadenini
122740,63035,20,,Melanchra
63035,204701,10,625,Melanchra adjuncta
122224,122727,25,,Apameini
122727,81987,20,,Apamea
81987,1330177,13,,Apamea amputatrix
1330177,213826,10,639,Apamea amputatrix
122224,122737,25,,Tholerini
122737,153077,20,,Nephelodes
153077,153076,10,698,Nephelodes minians
122224,122731,25,,Leucaniini
122731,121184,20,,Mythimna
121184,1257539,15,,Pseudaletia
1257539,121183,10,760,Mythimna unipuncta
122224,82030,25,,Xylenini
82030,320219,24,,Xylenina
320219,176071,20,,Sunira
176071,154353,10,849,Sunira bicolorago
122224,122735,25,,Eriopygini
122735,81662,20,,Lacinipolia
81662,81657,10,973,Lacinipolia renigera
48670,122463,27,,Condicinae
122463,122738,25,,Leuconyctini
122738,177464,20,,Leuconycta
177464,205235,10,49,Leuconycta diphteroides
122463,122734,25,,Condicini
122734,144002,20,,Homophoberia
144002,143613,10,184,Homophoberia apicosa
48670,1095935,27,,Raphiinae
1095935,319789,20,,Raphia
319789,229817,10,51,Raphia frater
48670,122455,27,,Plusiinae
122455,122007,25,,Argyrogrammatini
122007,52035,20,,Chrysodeixis
52035,148908,10,59,Chrysodeixis includens
122455,62792,25,,Plusiini
62792,124044,24,,Plusiina
124044,59313,20,,Anagrapha
59313,59300,10,246,Anagrapha falcifera
124044,55652,20,,Autographa
55652,142990,10,471,Autographa precationis
55652,55651,10,809,Autographa gamma
55652,121823,10,1007,Autographa californica
124044,127493,20,,Megalographa
127493,127492,10,602,Megalographa biloba
